Record Date,Country - Currency Description,Exchange Rate,Effective Date,ISO Code
2025-09-30,Sweden-Krona,9.418,2025-09-30,SEK
2025-09-30,Switzerland-Franc,0.798,2025-09-30,CHF
2025-09-30,Syria-Pound,11000.0,2025-09-30,SYP
2025-09-30,Taiwan-Dollar,30.491,2025-09-30,TWD
2025-09-30,Tajikistan-Somoni,9.23,2025-09-30,TJS
2025-09-30,Tanzania-Shilling,2420.0,2025-09-30,TZS
2025-09-30,Thailand-Baht,32.41,2025-09-30,THB
2025-09-30,Timor-Leste-Dili,1.0,2025-09-30,USD
2025-09-30,Togo-Cfa Franc,555.75,2025-09-30,XOF
2025-09-30,Tonga-Pa'Anga,2.331,2025-09-30,TOP
2025-09-30,Trinidad & Tobago-Dollar,6.756,2025-09-30,TTD
2025-09-30,Tunisia-Dinar,2.894,2025-09-30,TND
2025-09-30,Turkey-New Lira,41.575,2025-09-30,TRY
2025-09-30,Turkmenistan-New Manat,3.491,2025-09-30,TMT
2025-09-30,Uganda-Shilling,3485.0,2025-09-30,UGX
2025-09-30,Ukraine-Hryvnia,41.104,2025-09-30,UAH
2025-09-30,United Arab Emirates-Dirham,3.673,2025-09-30,AED
2025-09-30,United Kingdom-Pound,0.744,2025-09-30,GBP
2025-09-30,Uruguay-Peso,39.9,2025-09-30,UYU
2025-09-30,Uzbekistan-Som,12007.42,2025-09-30,UZS
2025-09-30,Vanuatu-Vatu,117.55,2025-09-30,VUV
2025-09-30,Venezuela-Bolivar Soberano,177.17,2025-09-30,VES
2025-09-30,Venezuela-Bolivar Soberano,198.609,2025-10-15,VES
2025-09-30,Venezuela-Fuerte,248832.0,2025-09-30,VEF
2025-09-30,Vietnam-Dong,26425.0,2025-09-30,VND
2025-09-30,Western Samoa-Tala,2.686,2025-09-30,WST
2025-09-30,Yemen-Rial,528.0,2025-09-30,YER
2025-09-30,Zambia-New Kwacha,23.81,2025-09-30,ZMW
2025-09-30,Zimbabwe-Gold,25.312,2025-09-30,ZWG
